NOME,SIGLA,AVALIAÇÃO
MINISTÉRIO DAS COMUNICAÇÕES,MCOM,1. NÃO INICIADA
MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,2. EM EXECUÇÃO
MINISTÉRIO DE MINAS E ENERGIA,MME,2. EM EXECUÇÃO
MINISTÉRIO DO DESENVOLVIMENTO REGIONAL,MDR,2. EM EXECUÇÃO
MINISTÉRIO DO MEIO AMBIENTE,MMA,2. EM EXECUÇÃO
MINISTÉRIO DO TRABALHO E PREVIDÊNCIA,MTP,1. NÃO INICIADA
MINISTÉRIO DO TURISMO,MTUR,2. EM EXECUÇÃO
SECRETARIA DE GOVERNO DA PRESIDÊNCIA DA REPÚBLICA,SEGOV/PR,1. NÃO INICIADA
SECRETARIA-GERAL DA PRESIDÊNCIA DA REPÚBLICA,SGPR,1. NÃO INICIADA
SUPERINTENDÊNCIA DA ZONA FRANCA DE MANAUS,SUFRAMA,1. NÃO INICIADA
SUPERINTENDÊNCIA DE DESENVOLVIMENTO DO CENTRO-OESTE,SUDECO,1. NÃO INICIADA
SUPERINTENDÊNCIA DE SEGUROS PRIVADOS,SUSEP,1. NÃO INICIADA
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DA AMAZÔNIA,SUDAM,1. NÃO INICIADA
SUPERINTENDÊNCIA DO DESENVOLVIMENTO DO NORDESTE,SUDENE,1. NÃO INICIADA
SUPERINTENDÊNCIA NACIONAL DE PREVIDÊNCIA COMPLEMENTAR,PREVIC,1. NÃO INICIADA
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE CATALÃO,UFCAT,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE JATAÍ,UFJ,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE RONDONÓPOLIS,UFR,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO AGRESTE DE PERNAMBUCO,UFAPE,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO CARIRI,UFCA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,UFDPAR,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,UFOB,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,2. EM EXECUÇÃO
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFESBA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ,UNIFESSPA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,1. NÃO INICIADA
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,1. NÃO INICIADA
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,1. NÃO INICIADA
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,1. NÃO INICIADA
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,1. NÃO INICIADA
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,1. NÃO INICIADA
UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,1. NÃO INICIADA
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,1. NÃO INICIADA
