orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100908,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,202203,6,1,7,1236,35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,3561,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,202203,3,1,4,649,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,104667,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,202203,4,3,7,1074,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,416,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,202203,0,3,3,619,4
2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,202203,94,41,135,466,75
2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,86144,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL,ANAC,202203,43,5,48,1278,78
2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,54844,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES,DNIT,202203,68,46,114,2243,70
2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,54793,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,AGÊNCIA NACIONAL DE TRANSPORTES TERRESTRES,ANTT,202203,37,10,47,998,61
2846,MINISTÉRIO DA INFRAESTRUTURA,MINFRA,54843,AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,AGÊNCIA NACIONAL DE TRANSPORTES AQUAVIÁRIOS,ANTAQ,202203,19,7,26,364,38
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,173,FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,202203,25,5,30,1451,75
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202203,127,63,190,13894,901
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202203,67,43,110,12825,253
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,322,CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA,CADE,202203,5,0,5,40,33
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202203,167,25,192,2295,173
219925,"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,219925,"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,202203,15,2,17,37,42
304,MINISTÉRIO DA SAÚDE,MS,36687,AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,AGÊNCIA NACIONAL DE VIGILÂNCIA SANITÁRIA,ANVISA,202203,31,7,38,1557,167
304,MINISTÉRIO DA SAÚDE,MS,45013,AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,AGÊNCIA NACIONAL DE SAÚDE SUPLEMENTAR,ANS,202203,6,1,7,620,23
